Time,Pelvis_Pitch_deg,Pelvis_Roll_deg,Pelvis_Yaw_deg,RHip_deg,RKnee_deg,RFoot_Y_m
0.000,-0.000,0.000,-0.000,-15.000,0.014,-0.111
0.020,-0.186,-0.010,-0.085,-14.419,-0.601,-0.110
0.040,-0.553,-0.030,-0.265,-13.222,-1.919,-0.109
0.060,-1.078,-0.056,-0.544,-11.411,-3.981,-0.108
0.080,-1.725,-0.080,-0.928,-9.031,-6.773,-0.106
0.100,-2.439,-0.095,-1.417,-6.170,-10.212,-0.104
0.120,-3.157,-0.092,-2.005,-2.963,-14.146,-0.100
0.140,-3.824,-0.064,-2.692,0.642,-19.009,-0.097
0.160,-4.375,-0.007,-3.462,4.577,-24.947,-0.095
0.180,-4.727,0.078,-4.280,8.628,-31.710,-0.093
0.200,-4.801,0.177,-5.097,12.489,-38.733,-0.091
0.220,-4.557,0.272,-5.875,15.890,-45.365,-0.088
0.240,-4.002,0.348,-6.590,18.675,-51.049,-0.082
0.260,-3.189,0.395,-7.238,20.838,-55.517,-0.074
0.280,-2.185,0.410,-7.817,22.459,-58.758,-0.063
0.300,-1.065,0.398,-8.324,23.618,-60.763,-0.049
0.320,0.096,0.367,-8.754,24.384,-61.522,-0.033
0.340,1.231,0.324,-9.099,24.803,-61.018,-0.014
0.360,2.283,0.281,-9.352,24.893,-59.232,0.007
0.380,3.212,0.243,-9.505,24.646,-56.137,0.031
0.400,3.992,0.216,-9.548,24.024,-51.701,0.057
0.420,4.615,0.201,-9.470,22.965,-45.882,0.084
0.440,5.087,0.196,-9.259,21.396,-38.648,0.114
0.460,5.430,0.195,-8.904,19.251,-29.997,0.144
0.480,5.667,0.193,-8.397,16.503,-20.003,0.174
0.500,5.814,0.191,-7.748,13.240,-8.955,0.203
0.520,5.851,0.195,-6.990,9.741,2.499,0.229
